IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.148.231.106,443,443,true,ORD,North America,US,Chicago,299,3.22
185.9.55.119,443,443,true,RIX,Europe,LV,Riga,207,3.21
94.177.8.51,443,443,true,VIE,Europe,AT,Vienna,267,3.20
52.18.155.172,443,443,true,DUB,Europe,IE,Dublin,239,3.18
141.147.54.246,443,443,true,FRA,Europe,DE,Frankfurt,272,3.16
140.238.121.142,443,443,true,FRA,Europe,DE,Frankfurt,266,3.11
143.47.184.235,443,443,true,FRA,Europe,DE,Frankfurt,291,3.11
185.172.131.49,443,443,true,FRA,Europe,DE,Frankfurt,246,3.10
130.162.40.60,443,443,true,LAX,North America,US,Los Angeles,269,3.06
45.86.228.104,443,443,true,SIN,Asia Pacific,SG,Singapore,147,3.05
213.255.209.189,443,443,true,YYZ,North America,CA,Toronto,228,3.02
141.148.225.12,443,443,true,FRA,Europe,DE,Frankfurt,301,2.99
87.251.87.167,443,443,true,FRA,Europe,DE,Frankfurt,280,2.97
193.187.175.136,443,443,true,CDG,Europe,FR,Paris,246,2.95
94.177.8.54,443,443,true,VIE,Europe,AT,Vienna,278,2.90
194.35.119.193,443,443,true,FRA,Europe,DE,Frankfurt,247,2.90
84.235.161.99,443,443,true,FRA,Europe,DE,Frankfurt,298,2.89
77.91.72.252,443,443,true,BUD,Europe,HU,Budapest,285,2.87
64.226.94.33,443,443,true,FRA,Europe,DE,Frankfurt,284,2.86
155.138.128.135,443,443,true,YYZ,North America,CA,Toronto,212,2.85
158.101.202.26,443,443,true,FRA,Europe,DE,Frankfurt,269,2.83
43.205.151.227,443,443,true,BOM,Asia Pacific,IN,Mumbai,229,2.82
94.177.8.48,443,443,true,VIE,Europe,AT,Vienna,267,2.80
144.21.62.128,443,443,true,FRA,Europe,DE,Frankfurt,298,2.80
152.67.131.63,443,443,true,FRA,Europe,DE,Frankfurt,269,2.73
132.226.130.246,443,443,true,FRA,Europe,DE,Frankfurt,271,2.73
94.177.8.9,443,443,true,VIE,Europe,AT,Vienna,274,2.71
91.231.186.167,443,443,true,LHR,Europe,GB,London,274,2.62
141.144.196.166,443,443,true,FRA,Europe,DE,Frankfurt,262,2.57
144.21.48.8,443,443,true,ORD,North America,US,Chicago,252,2.54
79.132.143.121,443,443,true,FRA,Europe,DE,Frankfurt,281,2.53
2.56.206.64,443,443,true,FRA,Europe,DE,Frankfurt,329,2.53
45.9.72.114,443,443,true,HEL,Europe,FI,Helsinki,268,2.51
35.167.93.200,443,443,true,PDX,North America,US,Portland,206,2.50
150.230.116.120,443,443,true,FRA,Europe,DE,Frankfurt,309,2.47
